time,Ix(U40:VDD)
1.05E-04,"	-1.017265e-004"
1.05E-04,"	-1.017173e-004"
1.05E-04,"	-1.017126e-004"
1.05E-04,"	-1.017125e-004"
1.05E-04,"	-1.017124e-004"
1.10E-04,"	-1.017124e-004"
1.10E-04,"	-1.017033e-004"
1.10E-04,"	-1.016987e-004"
1.10E-04,"	-1.016989e-004"
1.10E-04,"	-1.016995e-004"
1.10E-04,"	-1.017008e-004"
1.10E-04,"	-1.017029e-004"
1.10E-04,"	-1.017057e-004"
1.10E-04,"	-1.018857e-004"
1.10E-04,"	-1.023724e-004"
1.10E-04,"	-1.026447e-004"
1.10E-04,"	-1.026220e-004"
1.10E-04,"	-1.025960e-004"
1.10E-04,"	-1.026201e-004"
1.10E-04,"	-1.026194e-004"
1.10E-04,"	-1.026257e-004"
1.10E-04,"	-1.026352e-004"
1.10E-04,"	-1.026383e-004"
1.10E-04,"	-1.026418e-004"
1.10E-04,"	-1.026475e-004"
1.10E-04,"	-1.027070e-004"
1.10E-04,"	-1.027620e-004"
1.10E-04,"	-1.027864e-004"
1.10E-04,"	-1.027890e-004"
1.10E-04,"	-1.027878e-004"
