time	Ix(U40:VDD)
8.020331215700526e-005	-6.385072e-004
8.505144526886946e-005	-6.385070e-004
8.510000000000001e-005	-6.385068e-004
8.510069361706272e-005	-6.379344e-004
8.510208085118814e-005	-6.368915e-004
8.510485531943899e-005	-6.350294e-004
8.511040425594067e-005	-6.316917e-004
8.511779891877356e-005	-6.281895e-004
8.512230964782294e-005	-6.270711e-004
8.512682910470611e-005	-6.267889e-004
8.513131928898317e-005	-6.267399e-004
8.513560969728218e-005	-6.267341e-004
8.514038441373956e-005	-6.267383e-004
8.514993384665430e-005	-6.267357e-004
8.516903271248377e-005	-6.267357e-004
8.518467151785376e-005	-6.267353e-004
8.520000000000001e-005	-6.267349e-004
8.520050424089113e-005	-6.267239e-004
8.520151272267336e-005	-6.267173e-004
8.520352968623783e-005	-6.267162e-004
8.990000000000000e-005	-6.267161e-004
9.000000000000001e-005	-6.267160e-004
9.000048510605696e-005	-6.267058e-004
9.000145531817087e-005	-6.266993e-004
9.000339574239869e-005	-6.266974e-004
9.000727659085433e-005	-6.266969e-004
9.001503828776559e-005	-6.266967e-004
9.002665632581246e-005	-6.266964e-004
9.003995910006405e-005	-6.266961e-004
9.005946316985775e-005	-6.266956e-004
9.006771858903351e-005	-6.266955e-004
9.007297822278511e-005	-6.266948e-004
9.007693193479132e-005	-6.268810e-004
9.008134649074317e-005	-6.277994e-004
9.008553900984510e-005	-6.295964e-004
9.008944504151724e-005	-6.318864e-004
9.009381886391543e-005	-6.347360e-004
9.010000000000001e-005	-6.388525e-004
9.010061811360847e-005	-6.381207e-004
9.010185434082539e-005	-6.369464e-004
9.010432679525922e-005	-6.351930e-004
9.010927170412688e-005	-6.321023e-004
9.011588429233742e-005	-6.283108e-004
9.012341044388945e-005	-6.248885e-004
9.012806229879673e-005	-6.236862e-004
9.013217700039588e-005	-6.233307e-004
9.013651014501100e-005	-6.232284e-004
9.013950312134739e-005	-6.232162e-004
9.014371510158860e-005	-6.232259e-004
9.015213906207104e-005	-6.232229e-004
9.016898698303592e-005	-6.232230e-004
9.018399661570430e-005	-6.232232e-004
9.018972232433466e-005	-6.232222e-004
9.019236572182619e-005	-6.232223e-004
9.019471320501696e-005	-6.232217e-004
9.019648869082148e-005	-6.232221e-004
9.019763268559398e-005	-6.232217e-004
9.019787066017706e-005	-6.232220e-004
9.019882255850935e-005	-6.232220e-004
9.020000000000001e-005	-6.232219e-004
9.020011774414908e-005	-6.232125e-004
9.020035323244721e-005	-6.232071e-004
9.020082420904347e-005	-6.232051e-004
9.020176616223600e-005	-6.232026e-004
9.020365006862106e-005	-6.232013e-004
9.510000000000001e-005	-6.232010e-004
9.510075577589375e-005	-6.224383e-004
9.510226732768124e-005	-6.210122e-004
9.510529043125623e-005	-6.183803e-004
9.511133663840619e-005	-6.137014e-004
9.512342905270613e-005	-6.066728e-004
9.512891340598068e-005	-6.052671e-004
9.513536853330580e-005	-6.050778e-004
9.513947812761505e-005	-6.050719e-004
9.514424934789679e-005	-6.050807e-004
9.515379178846028e-005	-6.050770e-004
9.517287666958724e-005	-6.050771e-004
9.518497402320984e-005	-6.050767e-004
9.520000000000001e-005	-6.050824e-004
9.520050316600911e-005	-6.050690e-004
9.520150949802732e-005	-6.050604e-004
9.520754749013652e-005	-6.050591e-004
9.990000000000000e-005	-6.050591e-004
1.000000000000000e-004	-6.050591e-004
1.000004848764214e-004	-6.050390e-004
1.000014546292641e-004	-6.050265e-004
1.000033941349495e-004	-6.050233e-004
1.000072731463204e-004	-6.050222e-004
1.000150311690621e-004	-6.050218e-004
1.000266485021368e-004	-6.050211e-004
1.000399459370054e-004	-6.050205e-004
1.000580879152200e-004	-6.050181e-004
1.000660121224319e-004	-6.052058e-004
